from_,to_,flow,cost
1,854,0.0,0.7800000190734899
1,870,0.0,1.3800000190735
2,893,0.0,0.42000002861023
2,934,0.0,1.3200000762939
2,938,14.0,0.42000002861023
3,909,1667.0,0.6
3,911,0.0,2.0400001525879
3,923,0.0,1.3200000762939
3,929,0.0,1.5000000953674
4,902,0.0,1.6800001144408998
4,917,415.88490841894236,0.54000000953674
4,919,0.0,0.9
4,920,194.1150915810576,0.6
4,932,0.0,1.0800000190735
5,1009,603.0,0.6
5,1010,0.0,2.2800001144409
5,1029,67.0,0.84000005722046
6,992,0.0,0.42000002861023
6,1008,0.0,1.6200000762939
6,1018,150.0,0.66000003814697
7,970,309.15430022350483,0.96000003814697
7,971,81.84569977649517,0.7800000190734899
7,972,0.0,0.72000002861023
7,973,194.0,0.9
7,974,137.0,1.0800000190735
8,996,142.0,0.54000000953674
8,1012,222.0,0.7800000190734899
9,840,122.0,0.36000001430511
10,535,94.0,1.0400000254313002
10,839,36.0,1.5200000762939
11,166,669.0,1.5600001017253
11,200,360.0,1.5600001017253
12,167,388.0,1.8800000508626002
12,199,99.0,1.2
13,170,393.0,0.84000002543132
14,169,163.00265184248562,2.2800000508626
14,191,112.11212994577365,2.2800000508626
14,197,470.8852182117407,1.1200000762939
15,171,317.0,0.68000005086263
15,189,77.0,0.24000000953674
16,195,799.0,1.8800000508626002
16,224,415.0,1.3200000762939
17,173,844.0,2.4400001525879
17,187,385.0,2.4400001525879
18,174,1471.5529306277456,1.6800000508626
18,186,294.4470693722542,2.4400001525879
19,190,343.0,1.8800000508626002
19,220,203.0,1.2800000508626
20,177,179.27987433240924,2.1600001017253
20,183,9.720125667590764,2.5200002034505
21,182,300.0,0.7600000381469699
21,213,132.0,3.7600001017253
22,262,127.0,0.68000005086263
23,278,144.0,0.56000003814697
24,266,252.0,1.1200000762939
24,277,125.0,1.1200000762939
25,212,876.8180476427078,0.8
25,354,92.18195235729216,2.6400001525879
26,260,79.0,0.52000001271566
27,285,68.0,1.1200000762939
28,225,114.0,1.4800000508626
28,238,0.0,1.8800000508626002
29,230,22.0,0.52000001271566
30,240,0.0,1.0400000254313002
30,245,39.0,3.9200002034505
31,237,93.0,3.8000002543132
31,239,1515.0,1.6400000254313
32,243,76.0,0.52000001271566
33,273,338.0,1.1200000762939
33,274,148.0,1.1200000762939
33,294,0.0,0.96000003814697
33,295,71.0,1.2
34,272,329.0,0.84000002543132
35,293,207.0,0.56000003814697
36,300,562.0,0.6
37,305,80.0,0.84000002543132
38,289,611.3078929891782,2.5600001017253
38,336,636.6921070108218,2.9600001017253
38,340,473.0,2.5600001017253
38,341,233.0,2.9600001017253
39,327,460.0,0.56000003814697
40,329,446.0,0.6
41,311,359.0,0.48000001907349
42,312,268.0,1.5200000762939
42,313,444.0,1.3200000762939
43,332,618.0,0.92000001271566
44,319,1065.0,1.7600001017253
45,339,753.0,1.6800000508626
46,321,76.73830457245641,0.7600000381469699
46,334,387.26169542754366,0.7600000381469699
47,360,354.0,0.4
47,361,375.0,0.4
47,362,610.0,1.2
48,376,294.0,0.72000001271566
49,447,292.0,0.44000002543132
50,378,570.0,1.5200000762939
51,377,273.0,1.4800000508626
51,382,229.0,1.0000000635783
52,383,340.0,1.0800000508626
52,443,179.0,0.92000001271566
52,444,294.0,1.4
52,446,5.0,1.3600001017253
53,405,138.0,0.84000002543132
54,394,144.0561033831691,1.3600001017253
54,400,82.0,0.84000002543132
54,404,258.9438966168309,0.96000003814697
55,395,213.0,1.3200000762939
55,434,0.0,3.8000002543132
55,1035,166.0,1.1600001017253
56,393,49.0,1.6800000508626
56,435,23.0,3.4000002543132
57,406,278.0,0.88000005086263
58,407,403.0,0.7600000381469699
58,432,0.0,5.2800003051758
58,1035,176.0,1.8800000508626002
59,412,237.0,0.7600000381469699
59,413,138.0,0.92000001271566
60,481,10.0,0.7600000381469699
61,477,8.0,1.1200000762939
62,420,195.0,2.2800000508626
62,421,1371.0,2.2800000508626
63,411,198.0,0.44000002543132
63,418,0.0,2.2800000508626
63,429,128.0,2.2800000508626
64,418,51.0,0.7600000381469699
64,419,16.0,0.7600000381469699
65,426,390.0,1.0000000635783
66,453,318.92956825848523,0.92000001271566
66,454,81.07043174151475,0.7600000381469699
66,1034,6.0,1.4400000254313
67,441,884.0,1.0000000635783
68,465,446.0,0.48000001907349
69,456,612.0,0.84000002543132
70,468,537.8860932875614,0.6
70,473,138.11390671243862,0.84000002543132
71,467,298.0,1.0000000635783
71,472,25.0,1.9600001017253
72,462,293.0,0.44000002543132
73,457,230.0,1.2
73,464,67.0,1.8800000508626002
74,483,244.0,1.0800000508626
74,500,100.0,1.8000001271566
74,501,9.0,1.6400000254313
75,503,34.0,1.5200000762939
76,485,545.6061748078573,2.7200002034505
76,498,400.39382519214263,1.7200000762939
77,493,515.0,1.4400000254313
77,507,6.0,1.3600001017253
78,504,29.0,1.5200000762939
79,492,758.0,1.8800000508626002
80,620,135.0,0.44000002543132
80,621,158.0,0.44000002543132
80,652,124.0,0.64000002543132
81,628,415.0,1.3600001017253
81,629,166.0,1.3600001017253
81,657,487.0,1.4
82,653,386.0,0.48000001907349
82,658,150.0,0.92000001271566
83,703,263.0,0.44000002543132
84,700,262.0,0.88000005086263
84,701,143.0,0.88000005086263
84,720,74.0,1.5200000762939
84,722,131.0,1.5200000762939
85,721,0.0,0.4
85,732,0.0,0.68000005086263
86,770,520.0,0.68000005086263
87,771,330.0,0.96000003814697
88,777,595.0777054250648,1.0400000254313002
88,778,201.9222945749352,1.3600001017253
89,797,247.0,0.7600000381469699
90,786,349.68411843606003,1.7600001017253
90,788,250.59803809811277,1.4400000254313
90,789,393.7178434658272,1.4400000254313
90,793,0.0,1.7600001017253
91,798,234.0,1.8800000508626002
91,799,740.0,1.7200000762939
92,812,1132.1885293376545,1.3200000762939
92,814,1159.8114706623455,2.5600001017253
93,804,0.0,4.5200002034505
93,817,0.0,3.0
94,813,1729.0,2.4400001525879
95,818,74.0,3.4000002543132
95,819,716.0,2.0400000254313
96,558,91.0,0.36000000635783
97,648,607.6182098989883,1.2
97,659,0.0,1.0400000254313002
97,694,136.0,1.3200000762939
97,695,197.38179010101157,1.3200000762939
98,601,347.4421884612384,0.92000001271566
98,647,296.0558035898139,0.68000005086263
98,650,396.50200794894766,1.4
99,600,128.0,0.48000001907349
99,644,37.0,0.88000005086263
100,694,247.12621966878945,1.6
100,695,0.0,1.6
100,718,88.87378033121057,1.7600001017253
100,728,173.0,1.6
101,688,409.0,0.96000003814697
101,689,658.0,0.96000003814697
102,677,156.0,2.4800000508626
102,687,59.0,0.72000001271566
103,751,2.0,0.92000001271566
103,752,0.0,0.68000005086263
104,708,0.0,1.9600001017253
104,836,374.0,1.0800000508626
105,755,0.0,1.1200000762939
106,705,331.0,1.1200000762939
106,742,256.0,1.1200000762939
107,546,52.0,1.0800000508626
107,548,325.0,0.96000003814697
108,532,29.0,0.68000005086263
108,533,105.0,0.84000002543132
109,637,90.0,1.1200000762939
109,639,354.0,1.0400000254313002
110,631,346.3145936390647,1.2400000254313
110,633,41.0,1.0400000254313002
110,634,258.6854063609353,1.4
110,670,26.0,1.6800000508626
111,540,14.0,0.96000003814697
111,541,329.0,1.0400000254313002
111,543,0.0,1.5200000762939
111,578,141.0,0.72000001271566
111,579,99.0,0.72000001271566
112,524,642.0,0.72000001271566
112,541,6.0,1.4
113,684,53.0,0.96000003814697
113,706,159.0,0.96000003814697
114,670,543.0,0.52000001271566
114,682,0.0,1.8800000508626002
114,686,7.0,1.8800000508626002
115,633,372.9903983835248,1.8400000254313
115,667,662.0096016164753,1.6400000254313
116,570,37.0,0.52000001271566
116,571,647.0,0.52000001271566
117,522,806.0,0.8
117,538,3.0,1.1600001017253
118,567,63.0,0.92000001271566
118,665,21.0,1.8800000508626002
119,520,222.0,0.92000001271566
120,667,483.0,1.1200000762939
120,683,435.0,1.1200000762939
121,519,57.0,0.7600000381469699
122,516,81.0,0.7600000381469699
123,662,24.0,0.7600000381469699
124,511,322.0,1.1200000762939
125,803,0.0,1.0800000508626
126,740,0.0,1.1200000762939
127,338,0.0,5.2800003051758
128,824,0.0,2.8400001525879
128,831,0.0,2.8400001525879
129,825,0.0,3.4000002543132
129,830,0.0,3.4000002543132
130,826,0.0,3.8000002543132
130,829,0.0,3.8000002543132
131,779,0.0,1.1200000762939
132,1032,6.0,2.0000001271566
133,1033,6.0,2.0000001271566
134,241,22.0,2.0000001271566
135,353,5.0,2.0000001271566
136,335,4.0,2.0000001271566
136,348,5.0,2.0000001271566
137,324,4.0,2.0000001271566
138,1030,17.0,2.0000001271566
139,469,14.0,2.0000001271566
140,488,0.0,2.0000001271566
141,827,0.0,2.0000001271566
141,828,46.0,2.0000001271566
142,801,1.0,2.0000001271566
143,800,3.0,2.0000001271566
144,737,37.0,2.0000001271566
145,660,3.0,2.0000001271566
146,1031,21.0,2.0000001271566
147,872,0.0,1.560000038147
147,1048,38.0,0.7800000190734899
160,162,933.0405151497397,0.3912019225365053
160,203,484.0,0.7678278591519296
161,204,98.0,1.5671506122546126
161,536,2810.65061121848,0.486691973293135
162,161,2908.65061121848,0.4414249139157557
162,163,343.49678216824395,0.010000000397364
162,164,528.6118579832764,0.010000000397364
163,162,0.0,0.010000000397364
163,164,604.4789827687346,0.010000000397364
163,527,1031.378586368548,2.2673138879056207
164,162,2847.718736220261,0.010000000397364
164,163,687.8818042003039,0.010000000397364
164,165,1133.090840752011,0.25734922013581274
165,164,3535.6005404205644,0.8613199917898106
165,166,809.6118579832765,0.24389344546305702
165,201,415.03191339648043,1.5389367906263818
166,11,460.0,1.5600001017253
166,165,3296.5555824702315,0.6797869041229128
166,167,554.6118579832764,0.4453415673099009
167,12,287.0,1.8800000508626002
167,166,2832.5555824702315,0.8273665003798597
167,168,424.61185798327637,0.4817410360310396
168,167,2601.5555824702315,0.7539048240088166
168,169,424.61185798327637,1.056124576725748
168,198,0.0,1.6434783935547
169,14,200.0,2.2800000508626
169,168,2601.5555824702315,1.6527913413971609
169,170,360.61185798327637,0.2778445500801375
170,13,80.0,0.84000002543132
170,169,2574.5529306277454,0.4270445547404004
170,171,362.61185798327637,0.7224006892153797
171,15,62.0,0.68000005086263
171,170,2263.5529306277454,0.9276014577939724
171,172,325.61185798327637,0.3704241174204273
172,171,1971.5529306277454,0.4235833670793577
172,173,292.61185798327637,0.6296835530695106
172,189,33.0,1.669565808896584
173,17,114.0,2.4400001525879
173,172,1971.5529306277454,0.7200917778963214
173,174,369.61185798327637,0.3519474083785423
174,18,190.0,1.6800000508626
174,173,1318.5529306277458,0.4032047571450287
174,175,522.6118579832764,0.6120306694982576
175,174,190.0,0.611117332201584
175,176,522.6118579832764,0.010000000397364
176,175,190.0,0.010000000397364
176,177,522.6118579832764,1.5208034174663982
177,20,25.0,2.1600001017253
177,176,190.0,1.5185339127645845
177,178,624.8917323156857,1.7099060585789787
178,177,138.0,1.7038129302475111
178,179,59.278869773232145,0.010000000397364
178,180,69.61286254245351,0.010000000397364
178,181,496.0,0.010000000397364
179,178,0.0,0.010000000397364
179,180,8.0,0.010000000397364
179,181,98.0,0.010000000397364
179,215,277.27987433240924,2.7681162785771014
180,178,73.0,0.010000000397364
180,179,0.0,0.010000000397364
180,181,233.0,0.010000000397364
180,182,155.0,1.111237583383613
181,178,65.0,0.010000000397364
181,179,218.0010045591771,0.010000000397364
181,180,77.38713745754649,0.010000000397364
181,514,827.0,0.7971741449262733
182,21,100.0,0.7600000381469699
182,180,306.0,1.114760043591
182,1032,55.0,0.3272727423043956
183,20,0.0,2.5200002034505
183,184,9.720125667590764,0.9652177876195605
184,183,0.0,0.96521742447563
184,185,9.720125667590764,0.010000000397364
185,184,0.0,0.010000000397364
185,186,9.720125667590764,1.0434786534576197
186,18,85.0,2.4400001525879
186,185,0.0,1.0434782608696
186,187,304.16719503984496,0.8059528157195158
187,17,70.0,2.4400001525879
187,186,85.0,0.7570893087666979
187,188,689.167195039845,1.3445514558014493
188,187,155.0,0.6299414790176837
188,189,0.0,1.4869565549104
188,190,265.0,0.9227102197018948
188,220,534.167195039845,1.5489076140350195
189,15,0.0,0.24000000953674
189,172,0.0,1.6695652837339
189,188,110.0,1.4870580319597453
190,19,351.0,1.8800000508626002
190,188,60.0,0.8871529411169986
190,191,371.0,1.062199014897988
191,14,45.0,2.2800000508626
191,190,174.0,0.9478002953683512
191,192,474.11212994577363,1.024792811001747
